Region	Parent company / owner	Segment(s)	Category	Status	Notes
Middle East & Africa	Telecom Egypt	ISP CPE	ISP CPE / broadband gateway	Brand-only	Egyptian incumbent branded router/ONT
Europe	Telenet / Liberty Global	ISP CPE	ISP CPE / broadband gateway	Brand-only	Belgian cable branded gateway
Europe	Telenor	ISP CPE	ISP CPE / broadband gateway	Brand-only	Nordic operator branded router
Russia & CIS	Independent	Cellular; Utility/SCADA	Industrial / IoT	Active	Industrial cellular terminals and routers
Europe	Telia Company	ISP CPE	ISP CPE / broadband gateway	Brand-only	Nordic incumbent branded router
North America	Marlin Equity Partners	Optical LAN; Legacy routing	Legacy / acquired	Active (niche)	Once made 8600 MPLS routers; now optical LAN and PON
Latin America	América Móvil / Grupo Televisa	ISP CPE	ISP CPE / broadband gateway	Brand-only	Mexican telco and cable branded CPE
Europe	Dormant	Legacy ISP CPE	ISP CPE / broadband gateway	Defunct	Italian STB and CPE maker
Oceania	Telstra	ISP CPE	ISP CPE / broadband gateway	Brand-only	Australian telco branded router
Europe	Independent (Teltonika Group)	Industrial; Cellular 4G/5G; IoT	Industrial / IoT	Active	RUT/RUTX/TRB DIN-rail routers; one of the widest cellular SKU ranges
Asia-Pacific	Independent (Shenzhen Tenda)	Consumer Wi-Fi; SMB; 4G/5G	Cellular / 5G / mobile	Active	Budget Chinese Wi-Fi brand strong across emerging markets
Europe	Independent	Military; Satellite; Marine	Specialised (military / satellite / mobility)	Active	Tactical routers and VesseLINK satellite terminals
Europe	Became Technicolor, then Vantiva	Legacy ISP CPE	ISP CPE / broadband gateway	Brand retired	SpeedTouch was one of Europe's most-deployed CPE lines
Asia-Pacific	China Telecom	ISP CPE	ISP CPE / broadband gateway	Brand-only	State carrier branded ONT-routers, domestically sourced
Europe	Wound down	Legacy ISP CPE	ISP CPE / broadband gateway	Defunct	Swedish home gateway vendor
Europe	Telecom Italia	ISP CPE	ISP CPE / broadband gateway	Brand-only	Italian telco branded router
Global / multi-country	Community	Open-source firmware	Enterprise / SD-WAN	Active	Broadcom-focused third-party firmware fork
Europe	Independent	Industrial; Remote access	Industrial / IoT	Active	Plug-and-play secure remote-access routers
Latin America	Grupo Salinas	ISP CPE	ISP CPE / broadband gateway	Brand-only	Mexican ISP branded router/ONT
Asia-Pacific	Independent (Zioncom)	Consumer Wi-Fi	Consumer / retail	Active	Budget Chinese brand popular in SE Asia and global retail
Asia-Pacific	Independent (TP-Link Systems Inc. for US/intl; TP-Link Technologies for China)	Consumer Wi-Fi; Mesh; SMB	SMB / prosumer	Active	World's #1 consumer WLAN CPE brand by unit share; Archer/Deco/Omada/Tapo sub-brands
North America	Belden, then Juniper	Legacy enterprise WLAN	Legacy / acquired	Defunct	Wi-Fi controller vendor
North America	Independent	Consumer Wi-Fi; SMB	SMB / prosumer	Active	Long-running value networking brand
Asia-Pacific	Asus	Gaming	Consumer / retail	Active	Sub-brand: mid-tier Asus gaming router line
Europe	CZ.NIC	Prosumer; Open-source	Enterprise / SD-WAN	Active (niche)	Czech domain registry's open-source secure router project
Middle East & Africa	Türk Telekom	ISP CPE	ISP CPE / broadband gateway	Brand-only	Turkish incumbent branded router from AirTies, Zyxel
Asia-Pacific	Wingtech Technology	ODM; Cable CPE	ODM / white-label	Active	Cable modem and gateway ODM
North America	Independent (NYSE: UI)	Prosumer; SMB; Enterprise	Enterprise / SD-WAN	Active	UniFi and EdgeRouter lines bridge prosumer to enterprise
North America	Independent (NYSE: UI)	SMB; Enterprise; Prosumer	Enterprise / SD-WAN	Active	EdgeRouter, UniFi Gateway, UniFi Dream Machine lines
Asia-Pacific	Independent	SP access; Aggregation	Service provider	Active	Carrier Ethernet and access routers
Asia-Pacific	Independent	Whitebox / disaggregated routers	Data centre / disaggregated / silicon	Active	Hardware behind many DriveNets and AT&T deployments
Asia-Pacific	Telekom Malaysia	ISP CPE	ISP CPE / broadband gateway	Brand-only	Malaysian incumbent's branded router/ONT
North America	Juniper Networks (2002)	Legacy SP edge	Legacy / acquired	Brand retired	Became Juniper's ERX/E-series edge routers
Asia-Pacific	Tsinghua Unigroup	Holding company	Other	Active	Parent of New H3C
Asia-Pacific	ASE Technology	ODM / EMS	ODM / white-label	Active	Broad electronics ODM including networking modules
North America	Arista Networks	SMB router/firewall	SMB / prosumer	Active	Acquired 2022 as part of Arista's Edge Threat Management
Russia & CIS	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Russian home networking brand
North America	Independent	Consumer modem-router	Consumer / retail	Active (niche)	Historic US modem brand still selling networking gear
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	Serial-to-cellular gateways and industrial routers
Asia-Pacific	Independent	Industrial; PoE	Industrial / IoT	Active	Industrial and PoE networking including routers
Asia-Pacific	Independent	SP access; Legacy CPE	Legacy / acquired	Active (much reduced)	Once a major India and China CPE supplier
North America	Independent (TSX: VCM)	Cable access; BNG-adjacent	Service provider	Active	Bought parts of Casa's cable business
North America	Arista Networks	SD-WAN	Enterprise / SD-WAN	Active	VMware to Broadcom to Arista; one of the original SD-WAN leaders
North America	Linksys / Fortinet	Mesh	Consumer / retail	Active	Sub-brand: Linksys mesh Wi-Fi system line
North America	Digi International	Managed wireless WAN	Cellular / 5G / mobile	Active	Managed network services acquired by Digi 2021
North America	Verizon	ISP CPE	ISP CPE / broadband gateway	Brand-only	Verizon branded fibre gateway from Actiontec and Askey
North America	Independent	SD-WAN; SASE	Enterprise / SD-WAN	Active	Pure-play SD-WAN/SASE software vendor
Middle East & Africa	Vestel Group / Zorlu Holding	Consumer electronics; CPE	Consumer / retail	Active (niche)	Turkish electronics conglomerate that also builds CPE
North America	Independent (NASDAQ: VSAT)	Satellite; Military	Specialised (military / satellite / mobility)	Active	Satellite modems/routers and tactical networking
Asia-Pacific	Viettel Group (state)	ISP CPE; Telecom equipment	ISP CPE / broadband gateway	Active	Vietnamese conglomerate's equipment unit
Europe	Independent	Prosumer; VPN router	SMB / prosumer	Active (niche)	Swedish premium VPN-focused router brand
Europe	Virgin Media O2	ISP CPE	ISP CPE / broadband gateway	Brand-only	UK cable branded gateway
Asia-Pacific	VNPT Group (state)	ISP CPE; Telecom equipment	ISP CPE / broadband gateway	Active	Vietnam's state telco equipment arm, makes ONT-routers
Europe	Vodafone Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	Vodafone branded gateways across Europe
Asia-Pacific	Independent	ODM; Enterprise and SP routers; IoT	ODM / white-label	Active	Large Indian ODM/EMS building routers for global brands
North America	Brocade (2012), then AT&T (2017)	Legacy virtual router	Legacy / acquired	Defunct	Open-source software router; lineage feeds VyOS and DANOS
North America	Independent	Virtual router	Enterprise / SD-WAN	Active	Commercial open-source network OS, Vyatta lineage
North America	Vector Capital / Francisco Partners	SMB/branch	Enterprise / SD-WAN	Active	Firebox SMB firewall-routers
Asia-Pacific	Wateen Telecom / Nayatel	ISP CPE	ISP CPE / broadband gateway	Brand-only	Pakistani broadband ISP branded devices
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Chinese export-focused budget Wi-Fi brand
North America	Merged into Bay Networks 1994	Legacy enterprise	Legacy / acquired	Defunct	Early multiprotocol router pioneer
Europe	Independent	Industrial; Utility	Industrial / IoT	Active	DIN-rail routers and IIoT gateways
North America	Exited CPE c.2018	Legacy DSL CPE	Legacy / acquired	Defunct	Major US DSL CPE supplier
Europe	Beijer Alma	Industrial; Rail; Utility/SCADA	Industrial / IoT	Active	Rugged rail and industrial Ethernet routers
Asia-Pacific	Independent	ODM / EMS	ODM / white-label	Active	Chinese ODM giant; owns Ubee Interactive
Asia-Pacific	Wistron	ODM / ISP CPE	ODM / white-label	Active	CPE and cellular router ODM
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	Industrial 4G/5G routers and gateways
North America	Comcast	ISP CPE	ISP CPE / broadband gateway	Brand-only	Comcast's branded cable gateway
Asia-Pacific	Xiaomi Corporation	Consumer Wi-Fi; Mesh	Consumer / retail	Active	Very high volume in China; global sales via Mi ecosystem
Asia-Pacific	Xiaomi	Consumer Wi-Fi	Consumer / retail	Active	Higher-end Xiaomi Wi-Fi 6/7 sub-line
North America	Cambium Networks (2019)	Legacy enterprise WLAN	Legacy / acquired	Brand retired	High-density Wi-Fi vendor
Asia-Pacific	Yamaha Corporation	SMB; Enterprise branch	Enterprise / SD-WAN	Active	RTX series branch routers, highly regarded in Japan
Asia-Pacific	Independent	SMB; VoIP gateways	SMB / prosumer	Active	VoIP-centric SMB gateways and routers
Middle East & Africa	Zain Group	ISP CPE	ISP CPE / broadband gateway	Brand-only	Gulf operator branded 5G CPE
Asia-Pacific	Independent	Consumer Wi-Fi	Consumer / retail	Active	Indian electronics brand with a router lineup
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active (niche)	Indian rugged cellular router makers
Asia-Pacific	Asus	Mesh	Consumer / retail	Active	Sub-brand: Asus mesh Wi-Fi line
North America	DZS Inc.	Legacy SP access	Legacy / acquired	Brand retired	Merged with DASAN 2016, renamed DZS 2020
Asia-Pacific	Independent	ODM; STB/gateway	ODM / white-label	Active	Set-top and gateway ODM
North America	Minim Inc.	Retail modem-router	Other	Active (niche)	Historic US modem brand, now part of Minim
Asia-Pacific	Independent (state-linked, SZSE: 000063)	Consumer Wi-Fi; ISP CPE; 4G/5G CPE	ISP CPE / broadband gateway	Active	Major MiFi, ONT and home-router/CPE vendor
Asia-Pacific	Independent (state-linked)	SP edge; SP core; Enterprise; ISP CPE	ISP CPE / broadband gateway	Active	ZXR10 and ZXCTN router families
Asia-Pacific	Independent	Consumer Wi-Fi; DSL/Fiber CPE; SMB; 5G CPE	ISP CPE / broadband gateway	Active	Long-standing Taiwanese router/modem brand spanning retail and carrier

