Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1aSfk5kGRoA_1Vwuk0YP-78fX2zdCPrg6hOMJE0GDYxQ/export?format=csv&gid=119752031

---

Brand,Country of origin,Region,Parent company / owner,Segment(s),Category,Status,Notes
Pace plc,UK,Europe,"Arris (2016), now CommScope",Legacy ISP CPE; STB,ISP CPE / broadband gateway,Brand retired,UK set-top and gateway maker
Packeteer,USA,North America,Blue Coat (2008),Legacy WAN shaping,Legacy / acquired,Defunct,WAN traffic shaping appliances
PacStar,USA,North America,Curtiss-Wright,Military,Specialised (military / satellite / mobility),Active,PacStar 400/500 series tactical communication modules
Palo Alto Networks,USA,North America,Independent (NASDAQ: PANW),SD-WAN; SASE,Enterprise / SD-WAN,Active,"Prisma SD-WAN, ex-CloudGenix (2020)"
Paradyne Networks,USA,North America,Zhone (2005),Legacy DSL CPE,Legacy / acquired,Defunct,DSL and modem pioneer
Parks (Furukawa Parks),Brazil,Latin America,Furukawa Electric,SP access; ISP CPE,ISP CPE / broadband gateway,Active,Brazilian networking equipment brand
Pegatron,Taiwan,Asia-Pacific,Independent,ODM / EMS,ODM / white-label,Active,Major ODM producing routers and CPE
Peplink,Hong Kong,Asia-Pacific,Independent,SD-WAN; Branch; Mobile,Enterprise / SD-WAN,Active,SpeedFusion bonded SD-WAN routers
Peplink / Pepwave,Hong Kong,Asia-Pacific,Independent,SD-WAN; Vehicle; Marine; Cellular,Specialised (military / satellite / mobility),Active,SpeedFusion bonding; Pepwave is the mobile/marine sub-brand
Persistent Systems,USA,North America,Independent,Military; MANET,Specialised (military / satellite / mobility),Active,MPU5 MANET radio-router
PHICOMM (斐讯),China,Asia-Pacific,Wound down c.2019,Consumer Wi-Fi,Consumer / retail,Defunct,K2/K2P routers were hugely popular before the parent collapsed
Phoenix Contact,Germany,Europe,Independent,Industrial; Utility/SCADA,Industrial / IoT,Active,FL mGuard secure industrial routers
Pica8,USA,North America,Independent,Whitebox NOS,Data centre / disaggregated / silicon,Active,PICOS network operating system
Piolink,South Korea,Asia-Pacific,Independent,Enterprise; ADC,Enterprise / SD-WAN,Active,Application delivery and security-routing vendor
Pirelli Broadband Solutions,Italy,Europe,"Sold 2011, renamed Incaa Networks",Legacy ISP CPE,ISP CPE / broadband gateway,Defunct,Italian CPE maker used by Sky Italia and Telecom Italia
Planet Technology,Taiwan,Asia-Pacific,Independent (TWSE: 6263),SMB; Industrial,Industrial / IoT,Active,Taiwanese networking brand across SMB and industrial
Planex Communications,Japan,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Niche Japanese Wi-Fi/networking brand
PLDT Home Fibr,Philippines,Asia-Pacific,PLDT,ISP CPE,ISP CPE / broadband gateway,Brand-only,Philippine ISP branded fibre router
Plessey / GPT,UK,Europe,Absorbed into Marconi/Siemens,Legacy SP,Legacy / acquired,Defunct,British telecom equipment lineage
Plume,USA,North America,Independent,Managed Wi-Fi; Mesh,Consumer / retail,Active,Adaptive Wi-Fi platform sold direct and through ISPs
Pluris,USA,North America,Wound down,Legacy SP core,Legacy / acquired,Defunct,Terabit router startup
Plusnet Hub,UK,Europe,BT Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,UK ISP branded router
Portronics,India,Asia-Pacific,Independent,Consumer Wi-Fi; Accessories,Consumer / retail,Active (niche),Indian consumer electronics brand with routers and extenders
Positivo Tecnologia,Brazil,Latin America,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Brazilian PC maker with router products
Procket Networks,USA,North America,Cisco (2004),Legacy SP core,Legacy / acquired,Defunct,Core router startup absorbed by Cisco
PROLiNK,Singapore / Malaysia,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Southeast Asian budget/mid Wi-Fi brand
Proroute,UK,Europe,Independent,Cellular,Cellular / 5G / mobile,Brand-only,Rebadged OEM 4G/5G routers for the UK market
Protectli,USA,North America,Independent,Prosumer; Open-source appliances,Enterprise / SD-WAN,Active (niche),Fanless mini-PCs sold as pfSense and OPNsense router appliances
Proteon,USA,North America,Wound down late 1990s,Legacy enterprise,Legacy / acquired,Defunct,Token Ring era router pioneer
Proximus CPE,Belgium,Europe,Proximus,ISP CPE,ISP CPE / broadband gateway,Brand-only,Belgian telco branded router
PTCL CPE,Pakistan,Asia-Pacific,PTCL / e&,ISP CPE,ISP CPE / broadband gateway,Brand-only,Pakistani incumbent branded gateways
Qihoo 360 (360 Safe Router),China,Asia-Pacific,Qihoo 360,Security router,Consumer / retail,Active (niche),Chinese security company's consumer router line
QNAP (QMiro / QHora),Taiwan,Asia-Pacific,QNAP Systems,Mesh; SMB,SMB / prosumer,Active (niche),NAS maker's mesh and SD-WAN router line
QTECH,Russia,Russia & CIS,Independent,Enterprise; SP,Enterprise / SD-WAN,Active,"Russian networking brand, largely OEM-sourced"
Qualcomm (Atheros),USA,North America,Independent,Router silicon,Data centre / disaggregated / silicon,Active,Networking SoCs in a large share of consumer routers
Quanta Cloud Technology (QCT),Taiwan,Asia-Pacific,Quanta Computer,Whitebox ODM,ODM / white-label,Active,ODM datacentre networking hardware
Racom,Czechia,Europe,Independent,Utility/SCADA; Industrial,Industrial / IoT,Active,RipEX radio routers for SCADA telemetry
RAD Data Communications,Israel,Middle East & Africa,Independent (RAD Group),SP access; Enterprise edge; Industrial,Industrial / IoT,Active,Edge access devices and industrial cellular routers
Radwin,Israel,Middle East & Africa,Independent,Fixed wireless,Other,Active,Fixed wireless broadband CPE and routers
Rain CPE,South Africa,Middle East & Africa,Rain,ISP CPE,ISP CPE / broadband gateway,Brand-only,South African 4G/5G ISP branded router
Raisecom Technology,China,Asia-Pacific,Independent,SP access; Aggregation,Service provider,Active,Carrier access and aggregation routers
Rakuten WiFi Pocket,Japan,Asia-Pacific,Rakuten Mobile,4G/5G hotspot,Cellular / 5G / mobile,Brand-only,Rakuten Mobile's branded pocket Wi-Fi
Razer Sila,Singapore / USA,Asia-Pacific,Razer,Gaming Mesh,Consumer / retail,Defunct,Razer's short-lived gaming mesh router
Realme Router,China,Asia-Pacific,Realme / BBK Electronics,Consumer Wi-Fi,Consumer / retail,Active (niche),"Smartphone maker's router line, sold in India/Indonesia"
Realtek,Taiwan,Asia-Pacific,Independent,Router silicon,Data centre / disaggregated / silicon,Active,Low-cost router and switch SoCs
Red Lion Controls,USA,North America,Spectris,Industrial; Utility/SCADA,Industrial / IoT,Active,Protocol gateways and rugged routers; owns Sixnet
Redback Networks,USA,North America,Ericsson (2007),Legacy SP edge / BNG,Legacy / acquired,Defunct,SmartEdge BRAS line; Ericsson exited c.2016
Redmi Router,China,Asia-Pacific,Xiaomi,Consumer Wi-Fi,Consumer / retail,Active,Xiaomi's budget router sub-brand
Reyee,China,Asia-Pacific,Ruijie Networks,Consumer / SMB Wi-Fi,SMB / prosumer,Active,Ruijie's consumer/SMB sub-brand
Ribbon Communications,USA,North America,Independent (NASDAQ: RBBN),IP optical; SP edge,Service provider,Active,Neptune and Apollo lines via the ECI merger
Riverbed Technology,USA,North America,Vector Capital,SD-WAN; WAN optimisation,Enterprise / SD-WAN,Active,SteelConnect; legacy WAN optimisation heritage
Riverstone Networks,USA,North America,Lucent (2006),Legacy SP edge,Legacy / acquired,Defunct,Cabletron spinoff; assets went to Lucent
Robustel,China,Asia-Pacific,Independent,Cellular; Industrial; Utility/SCADA,Industrial / IoT,Active,Rugged M2M routers with SCADA protocol support
Rockspace,China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Amazon-focused budget Wi-Fi router and extender brand
ROG Rapture,Taiwan,Asia-Pacific,Asus,Gaming,Consumer / retail,Active,Sub-brand: Republic of Gamers gaming router line
Rogers Ignite CPE,Canada,North America,Rogers Communications,ISP CPE,ISP CPE / broadband gateway,Brand-only,Canadian cable operator's branded gateway
Rohde & Schwarz,Germany,Europe,Independent,Military; Enterprise (Lancom),Specialised (military / satellite / mobility),Active,SecuROUTE tactical IP routers; owns Lancom
Rosewill,USA,North America,Newegg,Consumer Wi-Fi,Consumer / retail,Brand-only,Newegg house brand including basic routers
Rostelecom CPE,Russia,Russia & CIS,Rostelecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,"State telco branded ONT-router from Eltex, Zyxel, Huawei"
Rotek,Russia,Russia & CIS,Independent,Consumer; ISP CPE,ISP CPE / broadband gateway,Active (niche),Russian home networking and CPE brand
RtBrick,Germany / USA,Europe,Independent,Disaggregated BNG,Service provider,Active,FullStack software for disaggregated broadband gateways
Ruckus Networks,USA,North America,Belden (acquired July 2026),Enterprise Wi-Fi; Campus networking,Enterprise / SD-WAN,Active,"Brocade to Arris to CommScope to Vistance to Belden, for $1.85bn in 2026"
RuggedCom,Canada,North America,Siemens,Industrial; Utility/SCADA,Industrial / IoT,Active,Substation-hardened routers; IEEE 1613 / IEC 61850
Ruijie Networks,China,Asia-Pacific,Independent (SSE STAR: 301165),Enterprise; SMB; Consumer,Enterprise / SD-WAN,Active,Major Chinese enterprise networking vendor
Safaricom Home CPE,Kenya,Middle East & Africa,Safaricom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Kenyan operator branded routers
Sagemcom,France,Europe,Independent,ISP CPE,ISP CPE / broadband gateway,Active,Major European ISP-gateway ODM and own brand
Samsung Connect Home,South Korea,Asia-Pacific,Samsung Electronics,Mesh,Consumer / retail,Defunct,"Plume-powered mesh Wi-Fi, discontinued"
Samsung Electronics (Networks),South Korea,Asia-Pacific,Samsung,Mobile transport; SP edge,Service provider,Active (niche),Mainly RAN; some IP transport and edge routing
Sangfor Technologies,China,Asia-Pacific,Independent,SD-WAN; Enterprise,Enterprise / SD-WAN,Active,SD-WAN and security appliance vendor
Sanwa Newtec,Japan,Asia-Pacific,Independent,Satellite; Marine,Specialised (military / satellite / mobility),Active,Satellite and microwave communication routers
Satel Oy,Finland,Europe,Independent,Utility/SCADA,Industrial / IoT,Active,Radio modems and routers for telemetry
Schneider Electric (ConneXium),France,Europe,Schneider Electric,Industrial,Industrial / IoT,Active,ConneXium industrial routers and switches
Scientific Atlanta,USA,North America,Cisco (2006),Legacy cable CPE,ISP CPE / broadband gateway,Defunct,Cable systems and CPE maker
Securifi (Almond),USA / Hong Kong,North America,Independent,Consumer Wi-Fi; Mesh,Consumer / retail,Active (niche),Touchscreen Almond router line
Semtech,USA,North America,Independent (NASDAQ: SMTC),Cellular; IoT,Industrial / IoT,Active,Owns Sierra Wireless AirLink router line
Sercomm,Taiwan,Asia-Pacific,Independent,ODM / ISP CPE,ODM / white-label,Active,ODM for many carrier and retail routers
SFR Box,France,Europe,Altice France,ISP CPE,ISP CPE / broadband gateway,Brand-only,French ISP branded gateway
Shenzhen Gongjin Electronics (T&W),China,Asia-Pacific,Independent,ODM / EMS,ODM / white-label,Active,"Contract manufacturer for TP-Link, Xiaomi and others"
Shiva Corporation,USA,North America,Intel (1999),Legacy remote access,Legacy / acquired,Defunct,Remote access and VPN router pioneer
Siemens (carrier and enterprise networking),Germany,Europe,Nokia Siemens Networks JV (2007),Legacy SP,Legacy / acquired,Divested,Carrier comms moved into the Nokia JV
Siemens (Scalance),Germany,Europe,Siemens AG,Industrial; Cellular,Industrial / IoT,Active,Scalance M/S/SC industrial routers and firewalls
Sierra Wireless (AirLink),Canada,North America,Semtech,Cellular; Vehicle; Industrial,Specialised (military / satellite / mobility),Active,AirLink RV/MG/XR rugged routers; acquired by Semtech 2023
Silicom Ltd,Israel,Middle East & Africa,Independent,uCPE / network appliances,Data centre / disaggregated / silicon,Active,Edge networking appliances and SmartNICs
Silver Peak,USA,North America,HPE Aruba,SD-WAN,Enterprise / SD-WAN,Brand retired,Acquired 2020; became Aruba EdgeConnect
Silvus Technologies,USA,North America,Independent,Military; MANET,Specialised (military / satellite / mobility),Active,StreamCaster MANET radio-routers
Sitecom,Netherlands,Europe,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Dutch networking brand popular in Benelux
Sixnet,USA,North America,Red Lion / Spectris,Industrial; Utility/SCADA,Industrial / IoT,Brand absorbed,Rugged router line folded into Red Lion
SK Broadband CPE,South Korea,Asia-Pacific,SK Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Korean ISP branded router
Sky Broadband Hub,UK,Europe,Sky / Comcast,ISP CPE,ISP CPE / broadband gateway,Brand-only,UK ISP branded router
Skyroam / Solis,USA,North America,Independent,Travel hotspot,Cellular / 5G / mobile,Active,Travel Wi-Fi hotspot brand marketed as Solis
Skyworth Digital,China,Asia-Pacific,Skyworth Group,ODM; ISP CPE; STB,ODM / white-label,Active,Supplies China Telecom/Mobile and exports gateways
SLT-Mobitel CPE,Sri Lanka,Asia-Pacific,Sri Lanka Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,State telco branded ONT-routers
SmartSky Networks,USA,North America,Wound down 2024,Aviation,Specialised (military / satellite / mobility),Defunct,"Air-to-ground connectivity, ceased operations"
SMC Networks,USA,North America,Dormant,Legacy consumer / SMB,Legacy / acquired,Brand-only,"Historic US networking brand, largely inactive"
SNR / NAG Group,Russia,Russia & CIS,Independent,Enterprise; SP,Enterprise / SD-WAN,Active,SNR-branded routers and switches
SoftBank CPE,Japan,Asia-Pacific,SoftBank Corp,ISP CPE,ISP CPE / broadband gateway,Brand-only,Japanese telco branded home router
SONiC,USA,North America,Linux Foundation (originated at Microsoft),Open NOS,Data centre / disaggregated / silicon,Active,Open-source NOS now the base for many DC routers
SonicWall,USA,North America,Francisco Partners,SMB/branch; SD-WAN,Enterprise / SD-WAN,Active,SMB firewall-router appliances
Sophos,UK,Europe,Thoma Bravo,SMB/branch; SD-WAN,Enterprise / SD-WAN,Active,XGS firewall appliances with SD-WAN routing
Spark NZ CPE,New Zealand,Oceania,Spark New Zealand,ISP CPE,ISP CPE / broadband gateway,Brand-only,NZ telco branded router
Spectranet CPE,Nigeria,Middle East & Africa,Spectranet,ISP CPE,ISP CPE / broadband gateway,Brand-only,Nigerian ISP branded LTE routers
Spectrum CPE,USA,North America,Charter Communications,ISP CPE,ISP CPE / broadband gateway,Brand-only,Charter branded cable modem-router
Speedefy,China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Amazon-focused budget Wi-Fi 6 router brand
ST Engineering iDirect,Belgium / USA,Europe,ST Engineering,Satellite,Specialised (military / satellite / mobility),Active,VSAT satellite routers for enterprise and maritime
Starlink (SpaceX),USA,North America,SpaceX,Satellite CPE,Specialised (military / satellite / mobility),Active,Ships its own Wi-Fi router with every terminal
Starry Station,USA,North America,Starry Inc.,Consumer Wi-Fi,Consumer / retail,Defunct,"Design-led touchscreen router, discontinued"
StarTech.com,Canada,North America,Independent,Prosumer / Travel,Cellular / 5G / mobile,Active (niche),Mostly connectivity; a few travel routers
stc CPE,Saudi Arabia,Middle East & Africa,stc Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,Saudi telco branded routers and 5G CPE
Sterlite Technologies (STL),India,Asia-Pacific,Independent,SP access; Optical; FTTH CPE,ISP CPE / broadband gateway,Active,Optical fibre plus networking and Garuda routers
Strong,Austria,Europe,Independent,Consumer Wi-Fi; STB,Consumer / retail,Active (niche),"Austrian consumer electronics brand, EU and Africa retail"
Sunrise CPE,Switzerland,Europe,Sunrise,ISP CPE,ISP CPE / broadband gateway,Brand-only,Swiss ISP branded gateway
Sweex,Netherlands,Europe,Independent,Consumer Wi-Fi,Consumer / retail,Dormant,Dutch budget electronics/networking brand
Swisscom Internet-Box,Switzerland,Europe,Swisscom,ISP CPE,ISP CPE / broadband gateway,Brand-only,Swiss ISP branded home gateway
Synology,Taiwan,Asia-Pacific,Independent,Consumer Wi-Fi; Mesh,Consumer / retail,Active,NAS maker's RT/MR router line with SRM firmware
SynOptics,USA,North America,Merged into Bay Networks 1994,Legacy enterprise,Legacy / acquired,Defunct,Ethernet hub and router pioneer
Syrotech,India,Asia-Pacific,Independent,FTTH ONT/router,ISP CPE / broadband gateway,Active,Popular Indian GPON ONU-router brand for local ISPs
Systematic,Denmark,Europe,Independent,Military,Specialised (military / satellite / mobility),Active,SitaWare tactical communications systems
T-Mobile Home Internet Gateway,USA,North America,T-Mobile US,5G FWA CPE,Cellular / 5G / mobile,Brand-only,"5G home gateways from Arcadyan, Askey and Sagemcom"
T8,Russia,Russia & CIS,Independent,Optical/DWDM with packet,Service provider,Active,Russian DWDM and packet-optical vendor
Talari Networks,USA,North America,Oracle,SD-WAN,Enterprise / SD-WAN,Discontinued,Acquired by Oracle 2018; product later wound down
TalkTalk CPE,UK,Europe,TalkTalk,ISP CPE,ISP CPE / broadband gateway,Brand-only,UK ISP branded router
Tapo,China,Asia-Pacific,TP-Link,Consumer Wi-Fi; Smart home,Consumer / retail,Active,Sub-brand: budget smart-home and entry Wi-Fi devices
TCI / Mokhaberat CPE,Iran,Middle East & Africa,Telecommunication Company of Iran,ISP CPE,ISP CPE / broadband gateway,Brand-only,"Iranian state telco branded modem-routers, locally assembled"
Technicolor / Vantiva,France,Europe,Independent (renamed Vantiva 2022-23),ISP CPE,ISP CPE / broadband gateway,Active,One of the largest global CPE suppliers; ex-Thomson lineage
Tejas Networks,India,Asia-Pacific,Tata Group (Panatone),SP access; Optical; Routing,Service provider,Active,India's largest listed telecom equipment maker
Telco Systems,Israel,Middle East & Africa,BATM Advanced Communications,Carrier Ethernet; vCPE,Service provider,Active,Long-running BATM subsidiary
Teldat,Spain,Europe,Independent,Enterprise branch; SD-WAN,Enterprise / SD-WAN,Active,Spanish router and SD-WAN vendor; owns bintec elmeg
Telecom Argentina CPE,Argentina,Latin America,Telecom Argentina,ISP CPE,ISP CPE / broadband gateway,Brand-only,Argentine telco branded router
Telecom Egypt (WE),Egypt,Middle East & Africa,Telecom Egypt,ISP CPE,ISP CPE / broadband gateway,Brand-only,Egyptian incumbent branded router/ONT
Telenet CPE,Belgium,Europe,Telenet / Liberty Global,ISP CPE,ISP CPE / broadband gateway,Brand-only,Belgian cable branded gateway
Telenor CPE,Norway,Europe,Telenor,ISP CPE,ISP CPE / broadband gateway,Brand-only,Nordic operator branded router
Teleofis,Russia,Russia & CIS,Independent,Cellular; Utility/SCADA,Industrial / IoT,Active,Industrial cellular terminals and routers
Telia CPE,Sweden / Nordics,Europe,Telia Company,ISP CPE,ISP CPE / broadband gateway,Brand-only,Nordic incumbent branded router
Telkom SA CPE,South Africa,Middle East & Africa,Telkom SA SOC,ISP CPE,ISP CPE / broadband gateway,Brand-only,South African incumbent branded router
Tellabs,USA,North America,Marlin Equity Partners,Optical LAN; Legacy routing,Legacy / acquired,Active (niche),Once made 8600 MPLS routers; now optical LAN and PON
Telmex / izzi CPE,Mexico,Latin America,América Móvil / Grupo Televisa,ISP CPE,ISP CPE / broadband gateway,Brand-only,Mexican telco and cable branded CPE
Telsey Telecommunications,Italy,Europe,Dormant,Legacy ISP CPE,ISP CPE / broadband gateway,Defunct,Italian STB and CPE maker
Telstra Smart Modem,Australia,Oceania,Telstra,ISP CPE,ISP CPE / broadband gateway,Brand-only,Australian telco branded router
Teltonika Networks,Lithuania,Europe,Independent (Teltonika Group),Industrial; Cellular 4G/5G; IoT,Industrial / IoT,Active,RUT/RUTX/TRB DIN-rail routers; one of the widest cellular SKU ranges
Telus CPE,Canada,North America,Telus,ISP CPE,ISP CPE / broadband gateway,Brand-only,Canadian telco branded home gateway
Tenda,China,Asia-Pacific,Independent (Shenzhen Tenda),Consumer Wi-Fi; SMB; 4G/5G,Cellular / 5G / mobile,Active,Budget Chinese Wi-Fi brand strong across emerging markets
Thales,France,Europe,Independent,Military; Satellite; Marine,Specialised (military / satellite / mobility),Active,Tactical routers and VesseLINK satellite terminals
Thomson / SpeedTouch,France,Europe,"Became Technicolor, then Vantiva",Legacy ISP CPE,ISP CPE / broadband gateway,Brand retired,SpeedTouch was one of Europe's most-deployed CPE lines
Tianyi (China Telecom CPE),China,Asia-Pacific,China Telecom,ISP CPE,ISP CPE / broadband gateway,Brand-only,"State carrier branded ONT-routers, domestically sourced"
Tilgin,Sweden,Europe,Wound down,Legacy ISP CPE,ISP CPE / broadband gateway,Defunct,Swedish home gateway vendor
TIM Brasil CPE,Brazil,Latin America,TIM Group / Telecom Italia,ISP CPE,ISP CPE / broadband gateway,Brand-only,Brazilian mobile and fibre operator branded router
TIM CPE,Italy,Europe,Telecom Italia,ISP CPE,ISP CPE / broadband gateway,Brand-only,Italian telco branded router
Tomato / FreshTomato,International,Global / multi-country,Community,Open-source firmware,Enterprise / SD-WAN,Active,Broadcom-focused third-party firmware fork
Tosibox,Finland,Europe,Independent,Industrial; Remote access,Industrial / IoT,Active,Plug-and-play secure remote-access routers
Totalplay CPE,Mexico,Latin America,Grupo Salinas,ISP CPE,ISP CPE / broadband gateway,Brand-only,Mexican ISP branded router/ONT
TOTOLINK,China,Asia-Pacific,Independent (Zioncom),Consumer Wi-Fi,Consumer / retail,Active,Budget Chinese brand popular in SE Asia and global retail
TP-Link,China,Asia-Pacific,Independent (TP-Link Systems Inc. for US/intl; TP-Link Technologies for China),Consumer Wi-Fi; Mesh; SMB,SMB / prosumer,Active,World's #1 consumer WLAN CPE brand by unit share; Archer/Deco/Omada/Tapo sub-brands
Trapeze Networks,USA,North America,"Belden, then Juniper",Legacy enterprise WLAN,Legacy / acquired,Defunct,Wi-Fi controller vendor
TRENDnet,USA / Taiwan,North America,Independent,Consumer Wi-Fi; SMB,SMB / prosumer,Active,Long-running value networking brand
TUF Gaming (networking),Taiwan,Asia-Pacific,Asus,Gaming,Consumer / retail,Active,Sub-brand: mid-tier Asus gaming router line
Turris (Omnia / MOX),Czechia,Europe,CZ.NIC,Prosumer; Open-source,Enterprise / SD-WAN,Active (niche),Czech domain registry's open-source secure router project
Türk Telekom CPE,Turkey,Middle East & Africa,Türk Telekom,ISP CPE,ISP CPE / broadband gateway,Brand-only,"Turkish incumbent branded router from AirTies, Zyxel"
Ubee Interactive,Hong Kong / USA,Asia-Pacific,Wingtech Technology,ODM; Cable CPE,ODM / white-label,Active,Cable modem and gateway ODM
Ubiquiti,USA,North America,Independent (NYSE: UI),Prosumer; SMB; Enterprise,Enterprise / SD-WAN,Active,UniFi and EdgeRouter lines bridge prosumer to enterprise
Ubiquiti Networks,USA,North America,Independent (NYSE: UI),SMB; Enterprise; Prosumer,Enterprise / SD-WAN,Active,"EdgeRouter, UniFi Gateway, UniFi Dream Machine lines"
Ubiquoss,South Korea,Asia-Pacific,Independent,SP access; Aggregation,Service provider,Active,Carrier Ethernet and access routers
UfiSpace,Taiwan,Asia-Pacific,Independent,Whitebox / disaggregated routers,Data centre / disaggregated / silicon,Active,Hardware behind many DriveNets and AT&T deployments
Unifi (TM),Malaysia,Asia-Pacific,Telekom Malaysia,ISP CPE,ISP CPE / broadband gateway,Brand-only,Malaysian incumbent's branded router/ONT
Unisphere Networks,USA,North America,Juniper Networks (2002),Legacy SP edge,Legacy / acquired,Brand retired,Became Juniper's ERX/E-series edge routers
Unisplendour (UNIS),China,Asia-Pacific,Tsinghua Unigroup,Holding company,Other,Active,Parent of New H3C
Universal Global Scientific (USI),Taiwan,Asia-Pacific,ASE Technology,ODM / EMS,ODM / white-label,Active,Broad electronics ODM including networking modules
Untangle / Arista NG Firewall,USA,North America,Arista Networks,SMB router/firewall,SMB / prosumer,Active,Acquired 2022 as part of Arista's Edge Threat Management
Upvel,Russia,Russia & CIS,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Russian home networking brand
US Robotics,USA,North America,Independent,Consumer modem-router,Consumer / retail,Active (niche),Historic US modem brand still selling networking gear
USR IOT (Jinan USR / PUSR),China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,Serial-to-cellular gateways and industrial routers
Utepo,China,Asia-Pacific,Independent,Industrial; PoE,Industrial / IoT,Active,Industrial and PoE networking including routers
UTStarcom,China / USA,Asia-Pacific,Independent,SP access; Legacy CPE,Legacy / acquired,Active (much reduced),Once a major India and China CPE supplier
V-SOL,China,Asia-Pacific,Independent,FTTH ONT/router,ISP CPE / broadband gateway,Active,Widely exported GPON ONU-router brand for regional ISPs
Vecima Networks,Canada,North America,Independent (TSX: VCM),Cable access; BNG-adjacent,Service provider,Active,Cable access and video delivery systems; was the backup bidder for Casa's cable assets
VeloCloud,USA,North America,Arista Networks,SD-WAN,Enterprise / SD-WAN,Active,VMware to Broadcom to Arista; one of the original SD-WAN leaders
Velop,USA,North America,Linksys / Fortinet,Mesh,Consumer / retail,Active,Sub-brand: Linksys mesh Wi-Fi system line
Ventus,USA,North America,Digi International,Managed wireless WAN,Cellular / 5G / mobile,Active,Managed network services acquired by Digi 2021
Verizon Fios Router,USA,North America,Verizon,ISP CPE,ISP CPE / broadband gateway,Brand-only,Verizon branded fibre gateway from Actiontec and Askey
Versa Networks,USA,North America,Independent,SD-WAN; SASE,Enterprise / SD-WAN,Active,Pure-play SD-WAN/SASE software vendor
Vestel,Turkey,Middle East & Africa,Vestel Group / Zorlu Holding,Consumer electronics; CPE,Consumer / retail,Active (niche),Turkish electronics conglomerate that also builds CPE
Vi (Vodafone Idea) CPE,India,Asia-Pacific,Vodafone Idea,4G/5G CPE; FTTH CPE,ISP CPE / broadband gateway,Brand-only,Indian telco branded home routers and hotspots
Viasat,USA,North America,Independent (NASDAQ: VSAT),Satellite; Military,Specialised (military / satellite / mobility),Active,Satellite modems/routers and tactical networking
Viettel High Tech,Vietnam,Asia-Pacific,Viettel Group (state),ISP CPE; Telecom equipment,ISP CPE / broadband gateway,Active,Vietnamese conglomerate's equipment unit
Vilfo,Sweden,Europe,Independent,Prosumer; VPN router,SMB / prosumer,Active (niche),Swedish premium VPN-focused router brand
Virgin Media Hub,UK,Europe,Virgin Media O2,ISP CPE,ISP CPE / broadband gateway,Brand-only,UK cable branded gateway
Vistance Networks (ex-CommScope),USA,North America,Independent,Cable access; Enterprise Wi-Fi,Enterprise / SD-WAN,Active,CommScope name went to Amphenol with the cable business in Jan 2026; remainder renamed Vistance
Vivo CPE,Brazil,Latin America,Telefonica Brasil,ISP CPE,ISP CPE / broadband gateway,Brand-only,Brazil's largest telco branded ONT-router
VNPT Technology,Vietnam,Asia-Pacific,VNPT Group (state),ISP CPE; Telecom equipment,ISP CPE / broadband gateway,Active,"Vietnam's state telco equipment arm, makes ONT-routers"
Vodacom CPE,South Africa,Middle East & Africa,Vodacom Group / Vodafone,ISP CPE; 5G CPE,ISP CPE / broadband gateway,Brand-only,Leading South African operator branded CPE
Vodafone Station,Germany / Italy,Europe,Vodafone Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,Vodafone branded gateways across Europe
Vonets,China,Asia-Pacific,Independent,Wi-Fi bridge; IoT modules,Industrial / IoT,Active (niche),Wi-Fi bridge and mini-router module maker
VVDN Technologies,India,Asia-Pacific,Independent,ODM; Enterprise and SP routers; IoT,ODM / white-label,Active,Large Indian ODM/EMS building routers for global brands
Vyatta,USA,North America,"Brocade (2012), then AT&T (2017)",Legacy virtual router,Legacy / acquired,Defunct,Open-source software router; lineage feeds VyOS and DANOS
VyOS Networks,USA / Estonia,North America,Independent,Virtual router,Enterprise / SD-WAN,Active,"Commercial open-source network OS, Vyatta lineage"
WatchGuard Technologies,USA,North America,Vector Capital / Francisco Partners,SMB/branch,Enterprise / SD-WAN,Active,Firebox SMB firewall-routers
Wateen / Nayatel CPE,Pakistan,Asia-Pacific,Wateen Telecom / Nayatel,ISP CPE,ISP CPE / broadband gateway,Brand-only,Pakistani broadband ISP branded devices
Wavlink,China,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Chinese export-focused budget Wi-Fi brand
Wellfleet Communications,USA,North America,Merged into Bay Networks 1994,Legacy enterprise,Legacy / acquired,Defunct,Early multiprotocol router pioneer
